name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,normal_attack_effectiveness,fire_attack_effectiveness,water_attack_effectiveness,electric_attack_effectiveness,grass_attack_effectiveness,ice_attack_effectiveness,fighting_attack_effectiveness,poison_attack_effectiveness,ground_attack_effectiveness,fly_attack_effectiveness,psychic_attack_effectiveness,bug_attack_effectiveness,rock_attack_effectiveness,ghost_attack_effectiveness,dragon_attack_effectiveness,dark_attack_effectiveness,steel_attack_effectiveness,fairy_attack_effectiveness
Kakuna,14,Shed Skin,Bug~Poison,45,25,50,25,25,35,6,100,Cocoon Pokémon,1,0.5,False,False,False,False,True,False,72,120,Bug,15.0,70,True,Weedle,Yellow,Squiggle,13.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Beedrill,15,Swarm~Sniper,Bug~Poison,65,90,40,45,80,75,10,295,Poison Bee Pokémon,1,0.5,False,False,False,False,True,True,178,45,Bug,15.0,70,False,Kakuna,Yellow,Bug-Wings,13.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Pidgey,16,Keen Eye~Tangled Feet~Big Pecks,Normal~Flying,40,45,40,35,35,56,3,18,Tiny Bird Pokémon,1,0.5,False,False,False,False,True,False,50,255,Flying,15.0,70,True,,Brown,Wings,27.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Pidgeotto,17,Keen Eye~Tangled Feet~Big Pecks,Normal~Flying,63,60,55,50,50,71,11,300,Bird Pokémon,1,0.5,False,False,False,False,True,False,122,120,Flying,15.0,70,True,Pidgey,Brown,Wings,27.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Pidgeot,18,Keen Eye~Tangled Feet~Big Pecks,Normal~Flying,83,80,75,70,70,101,15,395,Bird Pokémon,1,0.5,False,False,False,False,True,True,216,45,Flying,15.0,70,False,Pidgeotto,Brown,Wings,27.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Rattata,19,Run Away~Guts~Hustle,Normal,30,56,35,25,35,72,3,35,Mouse Pokémon,1,0.5,False,False,False,False,True,False,51,255,Field,15.0,70,True,,Purple,Quadruped,71.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Raticate,20,Run Away~Guts~Hustle,Normal,55,81,60,50,70,97,7,185,Mouse Pokémon,1,0.5,False,False,False,False,True,False,145,127,Field,15.0,70,False,Rattata,Brown,Quadruped,71.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Spearow,21,Keen Eye~Sniper,Normal~Flying,40,60,30,31,31,70,3,20,Tiny Bird Pokémon,1,0.5,False,False,False,False,True,False,52,255,Flying,15.0,70,True,,Brown,Wings,27.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Fearow,22,Keen Eye~Sniper,Normal~Flying,65,90,65,61,61,100,12,380,Beak Pokémon,1,0.5,False,False,False,False,True,False,155,90,Flying,15.0,70,False,Spearow,Brown,Wings,27.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Ekans,23,Intimidate~Shed Skin~Unnerve,Poison,35,60,44,40,54,55,20,69,Snake Pokémon,1,0.5,False,False,False,False,True,False,58,255,Field~Dragon,20.0,70,True,,Purple,Squiggle,16.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Arbok,24,Intimidate~Shed Skin~Unnerve,Poison,60,95,69,65,79,80,35,650,Cobra Pokémon,1,0.5,False,False,False,False,True,False,157,90,Field~Dragon,20.0,70,False,Ekans,Purple,Squiggle,16.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Pikachu,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,False,False,False,False,True,False,112,190,Field~Fairy,10.0,70,True,Pichu,Yellow,Quadruped,34.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Raichu,26,Static~Lightning Rod,Electric,60,90,55,90,80,110,8,300,Mouse Pokémon,1,0.5,False,False,False,False,True,False,218,75,Field~Fairy,10.0,70,False,Pikachu,Yellow,Upright,34.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Sandshrew,27,Sand Veil~Sand Rush,Ground,50,75,85,20,30,40,6,120,Mouse Pokémon,1,0.5,False,False,False,False,True,False,60,255,Field,20.0,70,True,,Yellow,Upright,17.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Sandslash,28,Sand Veil~Sand Rush,Ground,75,100,110,45,55,65,10,295,Mouse Pokémon,1,0.5,False,False,False,False,True,False,158,90,Field,20.0,70,False,Sandshrew,Yellow,Upright,17.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Nidoran F,29,Poison Point~Rivalry~Hustle,Poison,55,47,52,40,40,41,4,70,Poison Pin Pokémon,1,1.0,False,False,False,False,True,False,55,235,Monster~Field,20.0,70,False,,Blue,Quadruped,16.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidorina,30,Poison Point~Rivalry~Hustle,Poison,70,62,67,55,55,56,8,200,Poison Pin Pokémon,1,1.0,False,False,False,False,True,False,128,120,Undiscovered,20.0,70,True,Nidoran F,Blue,Quadruped,16.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidoqueen,31,Poison Point~Rivalry~Sheer Force,Poison~Ground,90,92,87,75,85,76,13,600,Drill Pokémon,1,1.0,False,False,False,False,True,False,227,45,Undiscovered,20.0,70,False,Nidorina,Blue,Upright,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Nidoran M,32,Poison Point~Rivalry~Hustle,Poison,46,57,40,40,40,50,5,90,Poison Pin Pokémon,1,0.0,False,False,False,False,True,False,55,235,Monster~Field,20.0,70,False,,Purple,Quadruped,16.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidorino,33,Poison Point~Rivalry~Hustle,Poison,61,72,57,55,55,65,9,195,Poison Pin Pokémon,1,0.0,False,False,False,False,True,False,128,120,Monster~Field,20.0,70,True,Nidoran M,Purple,Quadruped,16.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidoking,34,Poison Point~Rivalry~Sheer Force,Poison~Ground,81,102,77,85,75,85,14,620,Drill Pokémon,1,0.0,False,False,False,False,True,False,227,45,Monster~Field,20.0,70,False,Nidorino,Purple,Upright,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Clefairy,35,Cute Charm~Magic Guard~Friend Guard,Fairy,70,45,48,60,65,35,6,75,Fairy Pokémon,1,0.75,False,False,False,False,True,False,113,150,Fairy,10.0,140,True,Cleffa,Pink,Upright,19.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Clefable,36,Cute Charm~Magic Guard~Unaware,Fairy,95,70,73,95,90,60,13,400,Fairy Pokémon,1,0.75,False,False,False,False,True,False,217,25,Fairy,10.0,140,False,Clefairy,Pink,Upright,19.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Vulpix,37,Flash Fire~Drought,Fire,38,41,40,50,65,65,6,99,Fox Pokémon,1,0.75,False,False,False,False,True,False,60,190,Field,20.0,70,True,,Brown,Quadruped,34.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Ninetales,38,Flash Fire~Drought,Fire,73,76,75,81,100,100,11,199,Fox Pokémon,1,0.75,False,False,False,False,True,False,177,75,Field,20.0,70,False,Vulpix,Yellow,Quadruped,34.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Jigglypuff,39,Cute Charm~Competitive~Friend Guard,Normal~Fairy,115,45,20,45,25,20,5,55,Balloon Pokémon,1,0.75,False,False,False,False,True,False,95,170,Fairy,10.0,70,True,Igglybuff,Pink,Humanoid,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Wigglytuff,40,Cute Charm~Competitive~Frisk,Normal~Fairy,140,70,45,85,50,45,10,120,Balloon Pokémon,1,0.75,False,False,False,False,True,False,196,50,Fairy,10.0,70,False,Jigglypuff,Pink,Humanoid,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Zubat,41,Inner Focus~Infiltrator,Poison~Flying,40,45,35,30,40,55,8,75,Bat Pokémon,1,0.5,False,False,False,False,True,False,49,255,Flying,15.0,70,True,,Purple,Wings,3.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Golbat,42,Inner Focus~Infiltrator,Poison~Flying,75,80,70,65,75,90,16,550,Bat Pokémon,1,0.5,False,False,False,False,True,False,159,90,Flying,15.0,70,True,Zubat,Purple,Wings,3.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Oddish,43,Chlorophyll~Run Away,Grass~Poison,45,50,55,75,65,30,5,54,Weed Pokémon,1,0.5,False,False,False,False,True,False,64,255,Grass,20.0,70,True,,Blue,Legs,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Gloom,44,Chlorophyll~Stench,Grass~Poison,60,65,70,85,75,40,8,86,Weed Pokémon,1,0.5,False,False,False,False,True,False,138,120,Grass,20.0,70,True,Oddish,Blue,Humanoid,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Vileplume,45,Chlorophyll~Effect Spore,Grass~Poison,75,80,85,110,90,50,12,186,Flower Pokémon,1,0.5,False,False,False,False,True,False,221,45,Grass,20.0,70,False,Gloom,Red,Humanoid,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Paras,46,Effect Spore~Dry Skin~Damp,Bug~Grass,35,70,55,45,55,25,3,54,Mushroom Pokémon,1,0.5,False,False,False,False,True,False,57,190,Bug~Grass,20.0,70,True,,Red,Armor,6.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Parasect,47,Effect Spore~Dry Skin~Damp,Bug~Grass,60,95,80,60,80,30,10,295,Mushroom Pokémon,1,0.5,False,False,False,False,True,False,142,75,Bug~Grass,20.0,70,False,Paras,Red,Armor,6.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Venonat,48,Compound Eyes~Tinted Lens~Run Away,Bug~Poison,60,55,50,40,55,45,10,300,Insect Pokémon,1,0.5,False,False,False,False,True,False,61,190,Bug,20.0,70,True,,Purple,Humanoid,13.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Venomoth,49,Shield Dust~Tinted Lens~Wonder Skin,Bug~Poison,70,65,60,90,75,90,15,125,Poison Moth Pokémon,1,0.5,False,False,False,False,True,False,158,75,Bug,20.0,70,False,Venonat,Purple,Bug-Wings,13.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Diglett,50,Sand Veil~Arena Trap~Sand Force,Ground,10,55,25,35,45,95,2,8,Mole Pokémon,1,0.5,False,False,False,False,True,False,53,255,Field,20.0,70,True,,Brown,Blob,17.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Dugtrio,51,Sand Veil~Arena Trap~Sand Force,Ground,35,100,50,50,70,120,7,333,Mole Pokémon,1,0.5,False,False,False,False,True,False,149,50,Field,20.0,70,False,Diglett,Brown,Heads,17.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Meowth,52,Pickup~Technician~Unnerve,Normal,40,45,35,40,40,90,4,42,Scratch Cat Pokémon,1,0.5,False,False,False,False,True,False,58,255,Field,20.0,70,True,,Yellow,Quadruped,71.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Persian,53,Limber~Technician~Unnerve,Normal,65,70,60,65,65,115,10,320,Classy Cat Pokémon,1,0.5,False,False,False,False,True,False,154,90,Field,20.0,70,False,Meowth,Yellow,Quadruped,71.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Psyduck,54,Damp~Cloud Nine~Swift Swim,Water,50,52,48,65,50,55,8,196,Duck Pokémon,1,0.5,False,False,False,False,True,False,64,190,Water 1~Field,20.0,70,True,,Yellow,Upright,72.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Golduck,55,Damp~Cloud Nine~Swift Swim,Water,80,82,78,95,80,85,17,766,Duck Pokémon,1,0.5,False,False,False,False,True,False,175,75,Water 1~Field,20.0,70,False,Psyduck,Blue,Upright,72.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Mankey,56,Vital Spirit~Anger Point~Defiant,Fighting,40,80,35,35,45,70,5,280,Pig Monkey Pokémon,1,0.5,False,False,False,False,True,False,61,190,Field,20.0,70,True,,Brown,Upright,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Primeape,57,Vital Spirit~Anger Point~Defiant,Fighting,65,105,60,60,70,95,10,320,Pig Monkey Pokémon,1,0.5,False,False,False,False,True,False,159,75,Field,20.0,70,False,Mankey,Brown,Upright,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Growlithe,58,Intimidate~Flash Fire~Justified,Fire,55,70,45,70,50,60,7,190,Puppy Pokémon,1,0.25,False,False,False,False,True,False,70,190,Field,20.0,70,True,,Brown,Quadruped,34.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Arcanine,59,Intimidate~Flash Fire~Justified,Fire,90,110,80,100,80,95,19,1550,Legendary Pokémon,1,0.25,False,False,False,False,True,False,194,75,Field,20.0,70,False,Growlithe,Brown,Quadruped,34.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Poliwag,60,Water Absorb~Damp~Swift Swim,Water,40,50,40,40,40,90,6,124,Tadpole Pokémon,1,0.5,False,False,False,False,True,False,60,255,Water 1,20.0,70,True,,Blue,Legs,72.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwhirl,61,Water Absorb~Damp~Swift Swim,Water,65,65,65,50,50,90,10,200,Tadpole Pokémon,1,0.5,False,False,False,False,True,False,135,120,Water 1,20.0,70,True,Poliwag,Blue,Humanoid,72.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwrath,62,Water Absorb~Damp~Swift Swim,Water~Fighting,90,95,95,70,90,70,13,540,Tadpole Pokémon,1,0.5,False,False,False,False,True,False,230,45,Water 1,20.0,70,False,Poliwhirl,Blue,Humanoid,4.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
Abra,63,Synchronize~Inner Focus~Magic Guard,Psychic,25,20,15,105,55,90,9,195,Psi Pokémon,1,0.25,False,False,False,False,True,False,62,200,Human-Like,20.0,70,True,,Brown,Upright,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Kadabra,64,Synchronize~Inner Focus~Magic Guard,Psychic,40,35,30,120,70,105,13,565,Psi Pokémon,1,0.25,False,False,False,False,True,False,140,100,Human-Like,20.0,70,True,Abra,Brown,Upright,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Alakazam,65,Synchronize~Inner Focus~Magic Guard,Psychic,55,50,45,135,95,120,15,480,Psi Pokémon,1,0.25,False,False,False,False,True,True,225,50,Human-Like,20.0,70,False,Kadabra,Brown,Humanoid,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Machop,66,Guts~No Guard~Steadfast,Fighting,70,80,50,35,35,35,8,195,Superpower Pokémon,1,0.25,False,False,False,False,True,False,61,180,Human-Like,20.0,70,True,,Gray,Upright,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Machoke,67,Guts~No Guard~Steadfast,Fighting,80,100,70,50,60,45,15,705,Superpower Pokémon,1,0.25,False,False,False,False,True,False,142,90,Human-Like,20.0,70,True,Machop,Gray,Humanoid,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Machamp,68,Guts~No Guard~Steadfast,Fighting,90,130,80,65,85,55,16,1300,Superpower Pokémon,1,0.25,False,False,False,False,True,False,227,45,Human-Like,20.0,70,False,Machoke,Gray,Humanoid,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Bellsprout,69,Chlorophyll~Gluttony,Grass~Poison,50,75,35,70,30,40,7,40,Flower Pokémon,1,0.5,False,False,False,False,True,False,60,255,Grass,20.0,70,True,,Green,Humanoid,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Weepinbell,70,Chlorophyll~Gluttony,Grass~Poison,65,90,50,85,45,55,10,64,Flycatcher Pokémon,1,0.5,False,False,False,False,True,False,137,120,Grass,20.0,70,True,Bellsprout,Green,Blob,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Victreebel,71,Chlorophyll~Gluttony,Grass~Poison,80,105,65,100,70,70,17,155,Flycatcher Pokémon,1,0.5,False,False,False,False,True,False,221,45,Grass,20.0,70,False,Weepinbell,Green,Blob,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Tentacool,72,Clear Body~Liquid Ooze~Rain Dish,Water~Poison,40,40,35,50,100,70,9,455,Jellyfish Pokémon,1,0.5,False,False,False,False,True,False,67,190,Water 3,20.0,70,True,,Blue,Tentacles,6.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Tentacruel,73,Clear Body~Liquid Ooze~Rain Dish,Water~Poison,80,70,65,80,120,100,16,550,Jellyfish Pokémon,1,0.5,False,False,False,False,True,False,180,60,Water 3,20.0,70,False,Tentacool,Blue,Tentacles,6.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
